nLevel	szAward1	szAward2	szAward3	szAward4	szAward5	szAward6	szAward7	szAward8	szAward9	szAward10
68	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
69	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
70	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
71	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
72	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
73	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
74	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
75	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
76	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
77	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
78	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
79	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
80	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
81	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
82	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
83	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
84	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
85	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
86	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
87	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
88	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
89	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|501|1;TongFund|100;Item|30037|1;Item|1050|1|1
90	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
91	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
92	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
93	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
94	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
95	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
96	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
97	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
98	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
99	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
100	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
101	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
102	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
103	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
104	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
105	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
106	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
107	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
108	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
109	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|207|5	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|207|10	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
110	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
111	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
112	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
113	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
114	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
115	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
116	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
117	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
118	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
119	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
120	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
121	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
122	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
123	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
124	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
125	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
126	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
127	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
128	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
129	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
130	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
131	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
132	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
133	BasicExp|15;Coin|500	BasicExp|15;Item|30037|1;Item|102|2	BasicExp|15;Item|20000|1	BasicExp|15;Coin|1000;Item|30037|1	BasicExp|15;Item|901|5	BasicExp|15;Item|30037|1;Item|20000|2	BasicExp|15;Item|901|10	BasicExp|15;Coin|500;Item|30037|1	BasicExp|15;Item|209|1	BasicExp|15;Item|671601|1;TongFund|100;Item|30037|1;Item|1050|1|1
