nWareId	nSort	szReputeType	nEquipPos	nLevel
3246	751	WuWeiRepute	7	23
3247	752	WuWeiRepute	7	24
3248	753	WuWeiRepute	7	25
3249	754	WuWeiRepute	7	26
3250	755	WuWeiRepute	7	27
3251	756	WuWeiRepute	7	28
3252	757	WuWeiRepute	9	19
3253	758	WuWeiRepute	9	20
3254	759	WuWeiRepute	9	21
3255	760	WuWeiRepute	9	22
3256	761	WuWeiRepute	9	23
3257	762	WuWeiRepute	9	24
3258	763	WuWeiRepute	9	25
3259	764	WuWeiRepute	9	26
3260	765	WuWeiRepute	9	27
3261	766	WuWeiRepute	9	28
3262	767	XiaoYaoRepute	8	19
3263	768	XiaoYaoRepute	8	20
3264	769	XiaoYaoRepute	8	21
3265	770	XiaoYaoRepute	8	22
3266	771	XiaoYaoRepute	8	23
3267	772	XiaoYaoRepute	8	24
3268	773	XiaoYaoRepute	8	25
3269	774	XiaoYaoRepute	8	26
3270	775	XiaoYaoRepute	8	27
3271	776	XiaoYaoRepute	8	28
3272	777	XiaoYaoRepute	3	19
3273	778	XiaoYaoRepute	3	20
3274	779	XiaoYaoRepute	3	21
3275	780	XiaoYaoRepute	3	22
3276	781	XiaoYaoRepute	3	23
3277	782	XiaoYaoRepute	3	24
3278	783	XiaoYaoRepute	3	25
3279	784	XiaoYaoRepute	3	26
3280	785	XiaoYaoRepute	3	27
3281	786	XiaoYaoRepute	3	28
3282	787	XiaoYaoRepute	4	19
3283	788	XiaoYaoRepute	4	20
3284	789	XiaoYaoRepute	4	21
3285	790	XiaoYaoRepute	4	22
3286	791	XiaoYaoRepute	4	23
3287	792	XiaoYaoRepute	4	24
3288	793	XiaoYaoRepute	4	25
3289	794	XiaoYaoRepute	4	26
3290	795	XiaoYaoRepute	4	27
3291	796	XiaoYaoRepute	4	28
