nLevel	nSSS	nSSS_Base	nSS	nSS_Base	nS	nS_Base	nA	nA_Base	nB	nB_Base
378	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
379	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
380	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
381	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
382	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
383	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
384	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
385	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
386	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
387	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
388	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
389	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
390	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
391	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
392	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
393	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
394	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
395	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
396	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
397	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
398	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
399	990000000	24000	825000000	24000	660000000	24000	577500000	24000	495000000	24000
