nId	nPartnerId	nOrder	tbnWeight	tbnMingXiaQuality	tbnActivityQuality	nMaterialsId	nConsumeNum	nYuanQiNum	nIsBind	tbnItemId
261	24	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671408|670908
262	24	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671409|670909
263	24	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671410|670910
264	24	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671411|670911
265	25	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671101|670601
266	25	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671102|670602
267	25	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671103|670603
268	25	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671104|670604
269	25	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671105|670605
270	25	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671106|670606
271	25	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671107|670607
272	25	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671108|670608
273	25	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671109|670609
274	25	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671110|670610
275	25	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671111|670611
276	26	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671201|670701
277	26	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671202|670702
278	26	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671203|670703
279	26	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671204|670704
280	26	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671205|670705
281	26	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671206|670706
282	26	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671207|670707
283	26	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671208|670708
284	26	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671209|670709
285	26	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671210|670710
286	26	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671211|670711
287	27	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671301|670801
288	27	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671302|670802
289	27	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671303|670803
290	27	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671304|670804
291	27	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671305|670805
292	27	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671306|670806
293	27	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671307|670807
294	27	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671308|670808
295	27	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671309|670809
296	27	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671310|670810
297	27	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671311|670811
298	28	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671401|670901
299	28	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671402|670902
300	28	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671403|670903
301	28	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671404|670904
302	28	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671405|670905
303	28	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671406|670906
304	28	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671407|670907
305	28	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671408|670908
306	28	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671409|670909
307	28	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671410|670910
308	28	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671411|670911
309	29	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671501|671001
310	29	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671502|671002
311	29	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671503|671003
312	29	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671504|671004
313	29	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671505|671005
314	29	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671506|671006
315	29	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671507|671007
316	29	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671508|671008
317	29	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671509|671009
318	29	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671510|671010
319	29	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671511|671011
320	30	1	720000|280000	580000|420000	580000|420000	671601	4	1000	0	671101|670601
321	30	2	720000|280000	580000|420000	580000|420000	671601	4	1430	0	671102|670602
322	30	3	720000|280000	580000|420000	580000|420000	671601	4	1560	0	671103|670603
323	30	4	720000|280000	580000|420000	580000|420000	671601	6	2340	0	671104|670604
324	30	5	720000|280000	580000|420000	580000|420000	671601	6	2540	0	671105|670605
325	30	6	720000|280000	580000|420000	580000|420000	671601	6	2730	0	671106|670606
326	30	7	720000|280000	580000|420000	580000|420000	671601	8	3640	0	671107|670607
327	30	8	720000|280000	580000|420000	580000|420000	671601	8	3900	0	671108|670608
328	30	9	720000|280000	580000|420000	580000|420000	671601	8	4160	0	671109|670609
329	30	10	720000|280000	580000|420000	580000|420000	671601	10	5200	0	671110|670610
330	30	11	720000|280000	580000|420000	580000|420000	671601	10	5460	0	671111|670611
331	31	1	1000000	1000000	1000000	671601	3	700	0	671101
332	31	2	1000000	1000000	1000000	671601	3	1000	0	671102
333	31	3	1000000	1000000	1000000	671601	3	1090	0	671103
334	31	4	1000000	1000000	1000000	671601	4	1640	0	671104
335	31	5	1000000	1000000	1000000	671601	4	1780	0	671105
336	31	6	1000000	1000000	1000000	671601	4	1910	0	671106
337	31	7	1000000	1000000	1000000	671601	6	2550	0	671107
338	31	8	1000000	1000000	1000000	671601	6	2730	0	671108
339	31	9	1000000	1000000	1000000	671601	6	2910	0	671109
340	31	10	1000000	1000000	1000000	671601	7	3640	0	671110
341	31	11	1000000	1000000	1000000	671601	7	3820	0	671111
342	32	1	1000000	1000000	1000000	671601	3	700	0	671201
343	32	2	1000000	1000000	1000000	671601	3	1000	0	671202
344	32	3	1000000	1000000	1000000	671601	3	1090	0	671203
345	32	4	1000000	1000000	1000000	671601	4	1640	0	671204
346	32	5	1000000	1000000	1000000	671601	4	1780	0	671205
347	32	6	1000000	1000000	1000000	671601	4	1910	0	671206
348	32	7	1000000	1000000	1000000	671601	6	2550	0	671207
349	32	8	1000000	1000000	1000000	671601	6	2730	0	671208
350	32	9	1000000	1000000	1000000	671601	6	2910	0	671209
351	32	10	1000000	1000000	1000000	671601	7	3640	0	671210
352	32	11	1000000	1000000	1000000	671601	7	3820	0	671211
353	33	1	1000000	1000000	1000000	671601	3	700	0	671201
354	33	2	1000000	1000000	1000000	671601	3	1000	0	671202
355	33	3	1000000	1000000	1000000	671601	3	1090	0	671203
356	33	4	1000000	1000000	1000000	671601	4	1640	0	671204
357	33	5	1000000	1000000	1000000	671601	4	1780	0	671205
358	33	6	1000000	1000000	1000000	671601	4	1910	0	671206
359	33	7	1000000	1000000	1000000	671601	6	2550	0	671207
360	33	8	1000000	1000000	1000000	671601	6	2730	0	671208
361	33	9	1000000	1000000	1000000	671601	6	2910	0	671209
362	33	10	1000000	1000000	1000000	671601	7	3640	0	671210
363	33	11	1000000	1000000	1000000	671601	7	3820	0	671211
364	34	1	1000000	1000000	1000000	671601	3	700	0	671101
365	34	2	1000000	1000000	1000000	671601	3	1000	0	671102
366	34	3	1000000	1000000	1000000	671601	3	1090	0	671103
367	34	4	1000000	1000000	1000000	671601	4	1640	0	671104
368	34	5	1000000	1000000	1000000	671601	4	1780	0	671105
369	34	6	1000000	1000000	1000000	671601	4	1910	0	671106
370	34	7	1000000	1000000	1000000	671601	6	2550	0	671107
371	34	8	1000000	1000000	1000000	671601	6	2730	0	671108
372	34	9	1000000	1000000	1000000	671601	6	2910	0	671109
373	34	10	1000000	1000000	1000000	671601	7	3640	0	671110
374	34	11	1000000	1000000	1000000	671601	7	3820	0	671111
375	35	1	1000000	1000000	1000000	671601	3	700	0	671301
376	35	2	1000000	1000000	1000000	671601	3	1000	0	671302
377	35	3	1000000	1000000	1000000	671601	3	1090	0	671303
378	35	4	1000000	1000000	1000000	671601	4	1640	0	671304
379	35	5	1000000	1000000	1000000	671601	4	1780	0	671305
380	35	6	1000000	1000000	1000000	671601	4	1910	0	671306
381	35	7	1000000	1000000	1000000	671601	6	2550	0	671307
382	35	8	1000000	1000000	1000000	671601	6	2730	0	671308
383	35	9	1000000	1000000	1000000	671601	6	2910	0	671309
384	35	10	1000000	1000000	1000000	671601	7	3640	0	671310
385	35	11	1000000	1000000	1000000	671601	7	3820	0	671311
386	36	1	1000000	1000000	1000000	671601	3	700	0	671501
387	36	2	1000000	1000000	1000000	671601	3	1000	0	671502
388	36	3	1000000	1000000	1000000	671601	3	1090	0	671503
389	36	4	1000000	1000000	1000000	671601	4	1640	0	671504
390	36	5	1000000	1000000	1000000	671601	4	1780	0	671505
391	36	6	1000000	1000000	1000000	671601	4	1910	0	671506
392	36	7	1000000	1000000	1000000	671601	6	2550	0	671507
393	36	8	1000000	1000000	1000000	671601	6	2730	0	671508
394	36	9	1000000	1000000	1000000	671601	6	2910	0	671509
395	36	10	1000000	1000000	1000000	671601	7	3640	0	671510
396	36	11	1000000	1000000	1000000	671601	7	3820	0	671511
397	37	1	1000000	1000000	1000000	671601	3	700	0	671301
398	37	2	1000000	1000000	1000000	671601	3	1000	0	671302
399	37	3	1000000	1000000	1000000	671601	3	1090	0	671303
400	37	4	1000000	1000000	1000000	671601	4	1640	0	671304
401	37	5	1000000	1000000	1000000	671601	4	1780	0	671305
402	37	6	1000000	1000000	1000000	671601	4	1910	0	671306
403	37	7	1000000	1000000	1000000	671601	6	2550	0	671307
404	37	8	1000000	1000000	1000000	671601	6	2730	0	671308
405	37	9	1000000	1000000	1000000	671601	6	2910	0	671309
406	37	10	1000000	1000000	1000000	671601	7	3640	0	671310
407	37	11	1000000	1000000	1000000	671601	7	3820	0	671311
408	38	1	1000000	1000000	1000000	671601	3	700	0	671501
409	38	2	1000000	1000000	1000000	671601	3	1000	0	671502
410	38	3	1000000	1000000	1000000	671601	3	1090	0	671503
411	38	4	1000000	1000000	1000000	671601	4	1640	0	671504
412	38	5	1000000	1000000	1000000	671601	4	1780	0	671505
413	38	6	1000000	1000000	1000000	671601	4	1910	0	671506
414	38	7	1000000	1000000	1000000	671601	6	2550	0	671507
415	38	8	1000000	1000000	1000000	671601	6	2730	0	671508
416	38	9	1000000	1000000	1000000	671601	6	2910	0	671509
417	38	10	1000000	1000000	1000000	671601	7	3640	0	671510
418	38	11	1000000	1000000	1000000	671601	7	3820	0	671511
419	39	1	1000000	1000000	1000000	671601	3	700	0	671401
420	39	2	1000000	1000000	1000000	671601	3	1000	0	671402
421	39	3	1000000	1000000	1000000	671601	3	1090	0	671403
422	39	4	1000000	1000000	1000000	671601	4	1640	0	671404
423	39	5	1000000	1000000	1000000	671601	4	1780	0	671405
424	39	6	1000000	1000000	1000000	671601	4	1910	0	671406
425	39	7	1000000	1000000	1000000	671601	6	2550	0	671407
426	39	8	1000000	1000000	1000000	671601	6	2730	0	671408
427	39	9	1000000	1000000	1000000	671601	6	2910	0	671409
428	39	10	1000000	1000000	1000000	671601	7	3640	0	671410
429	39	11	1000000	1000000	1000000	671601	7	3820	0	671411
430	40	1	1000000	1000000	1000000	671601	3	700	0	671401
431	40	2	1000000	1000000	1000000	671601	3	1000	0	671402
432	40	3	1000000	1000000	1000000	671601	3	1090	0	671403
433	40	4	1000000	1000000	1000000	671601	4	1640	0	671404
434	40	5	1000000	1000000	1000000	671601	4	1780	0	671405
435	40	6	1000000	1000000	1000000	671601	4	1910	0	671406
436	40	7	1000000	1000000	1000000	671601	6	2550	0	671407
437	40	8	1000000	1000000	1000000	671601	6	2730	0	671408
438	40	9	1000000	1000000	1000000	671601	6	2910	0	671409
439	40	10	1000000	1000000	1000000	671601	7	3640	0	671410
440	40	11	1000000	1000000	1000000	671601	7	3820	0	671411
441	41	1	1000000	1000000	1000000	671601	3	700	0	671501
442	41	2	1000000	1000000	1000000	671601	3	1000	0	671502
443	41	3	1000000	1000000	1000000	671601	3	1090	0	671503
444	41	4	1000000	1000000	1000000	671601	4	1640	0	671504
445	41	5	1000000	1000000	1000000	671601	4	1780	0	671505
446	41	6	1000000	1000000	1000000	671601	4	1910	0	671506
447	41	7	1000000	1000000	1000000	671601	6	2550	0	671507
448	41	8	1000000	1000000	1000000	671601	6	2730	0	671508
449	41	9	1000000	1000000	1000000	671601	6	2910	0	671509
450	41	10	1000000	1000000	1000000	671601	7	3640	0	671510
451	41	11	1000000	1000000	1000000	671601	7	3820	0	671511
452	42	1	1000000	1000000	1000000	671601	3	700	0	671101
453	42	2	1000000	1000000	1000000	671601	3	1000	0	671102
454	42	3	1000000	1000000	1000000	671601	3	1090	0	671103
455	42	4	1000000	1000000	1000000	671601	4	1640	0	671104
456	42	5	1000000	1000000	1000000	671601	4	1780	0	671105
457	42	6	1000000	1000000	1000000	671601	4	1910	0	671106
458	42	7	1000000	1000000	1000000	671601	6	2550	0	671107
459	42	8	1000000	1000000	1000000	671601	6	2730	0	671108
460	42	9	1000000	1000000	1000000	671601	6	2910	0	671109
461	42	10	1000000	1000000	1000000	671601	7	3640	0	671110
462	42	11	1000000	1000000	1000000	671601	7	3820	0	671111
463	43	1	1000000	1000000	1000000	671601	3	700	0	671401
464	43	2	1000000	1000000	1000000	671601	3	1000	0	671402
465	43	3	1000000	1000000	1000000	671601	3	1090	0	671403
466	43	4	1000000	1000000	1000000	671601	4	1640	0	671404
467	43	5	1000000	1000000	1000000	671601	4	1780	0	671405
468	43	6	1000000	1000000	1000000	671601	4	1910	0	671406
469	43	7	1000000	1000000	1000000	671601	6	2550	0	671407
470	43	8	1000000	1000000	1000000	671601	6	2730	0	671408
471	43	9	1000000	1000000	1000000	671601	6	2910	0	671409
472	43	10	1000000	1000000	1000000	671601	7	3640	0	671410
473	43	11	1000000	1000000	1000000	671601	7	3820	0	671411
474	44	1	1000000	1000000	1000000	671601	3	700	0	671301
475	44	2	1000000	1000000	1000000	671601	3	1000	0	671302
476	44	3	1000000	1000000	1000000	671601	3	1090	0	671303
477	44	4	1000000	1000000	1000000	671601	4	1640	0	671304
478	44	5	1000000	1000000	1000000	671601	4	1780	0	671305
479	44	6	1000000	1000000	1000000	671601	4	1910	0	671306
480	44	7	1000000	1000000	1000000	671601	6	2550	0	671307
481	44	8	1000000	1000000	1000000	671601	6	2730	0	671308
482	44	9	1000000	1000000	1000000	671601	6	2910	0	671309
483	44	10	1000000	1000000	1000000	671601	7	3640	0	671310
484	44	11	1000000	1000000	1000000	671601	7	3820	0	671311
485	45	1	1000000	1000000	1000000	671601	3	700	0	671201
486	45	2	1000000	1000000	1000000	671601	3	1000	0	671202
487	45	3	1000000	1000000	1000000	671601	3	1090	0	671203
488	45	4	1000000	1000000	1000000	671601	4	1640	0	671204
489	45	5	1000000	1000000	1000000	671601	4	1780	0	671205
490	45	6	1000000	1000000	1000000	671601	4	1910	0	671206
491	45	7	1000000	1000000	1000000	671601	6	2550	0	671207
492	45	8	1000000	1000000	1000000	671601	6	2730	0	671208
493	45	9	1000000	1000000	1000000	671601	6	2910	0	671209
494	45	10	1000000	1000000	1000000	671601	7	3640	0	671210
495	45	11	1000000	1000000	1000000	671601	7	3820	0	671211
496	46	1	1000000	1000000	1000000	671601	3	700	0	671101
497	46	2	1000000	1000000	1000000	671601	3	1000	0	671102
498	46	3	1000000	1000000	1000000	671601	3	1090	0	671103
499	46	4	1000000	1000000	1000000	671601	4	1640	0	671104
500	46	5	1000000	1000000	1000000	671601	4	1780	0	671105
501	46	6	1000000	1000000	1000000	671601	4	1910	0	671106
502	46	7	1000000	1000000	1000000	671601	6	2550	0	671107
503	46	8	1000000	1000000	1000000	671601	6	2730	0	671108
504	46	9	1000000	1000000	1000000	671601	6	2910	0	671109
505	46	10	1000000	1000000	1000000	671601	7	3640	0	671110
506	46	11	1000000	1000000	1000000	671601	7	3820	0	671111
507	47	1	1000000	1000000	1000000	671601	3	700	0	671501
508	47	2	1000000	1000000	1000000	671601	3	1000	0	671502
509	47	3	1000000	1000000	1000000	671601	3	1090	0	671503
510	47	4	1000000	1000000	1000000	671601	4	1640	0	671504
511	47	5	1000000	1000000	1000000	671601	4	1780	0	671505
512	47	6	1000000	1000000	1000000	671601	4	1910	0	671506
513	47	7	1000000	1000000	1000000	671601	6	2550	0	671507
514	47	8	1000000	1000000	1000000	671601	6	2730	0	671508
515	47	9	1000000	1000000	1000000	671601	6	2910	0	671509
516	47	10	1000000	1000000	1000000	671601	7	3640	0	671510
517	47	11	1000000	1000000	1000000	671601	7	3820	0	671511
518	48	1	1000000	1000000	1000000	671601	3	700	0	671301
519	48	2	1000000	1000000	1000000	671601	3	1000	0	671302
520	48	3	1000000	1000000	1000000	671601	3	1090	0	671303
521	48	4	1000000	1000000	1000000	671601	4	1640	0	671304
522	48	5	1000000	1000000	1000000	671601	4	1780	0	671305
523	48	6	1000000	1000000	1000000	671601	4	1910	0	671306
524	48	7	1000000	1000000	1000000	671601	6	2550	0	671307
525	48	8	1000000	1000000	1000000	671601	6	2730	0	671308
526	48	9	1000000	1000000	1000000	671601	6	2910	0	671309
527	48	10	1000000	1000000	1000000	671601	7	3640	0	671310
528	48	11	1000000	1000000	1000000	671601	7	3820	0	671311
529	1	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711401|710901|710401|700901
530	1	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711402|710902|710402|700902
531	1	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711403|710903|710403|700903
532	1	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711404|710904|710404|700904
533	1	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711405|710905|710405|700905
534	1	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711406|710906|710406|700906
535	1	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711407|710907|710407|700907
536	1	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711408|710908|710408|700908
537	1	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711409|710909|710409|700909
538	1	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711410|710910|710410|700910
539	2	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711101|710601|710101|700101
540	2	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711102|710602|710102|700102
541	2	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711103|710603|710103|700103
542	2	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711104|710604|710104|700104
543	2	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711105|710605|710105|700105
544	2	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711106|710606|710106|700106
545	2	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711107|710607|710107|700107
546	2	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711108|710608|710108|700108
547	2	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711109|710609|710109|700109
548	2	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711110|710610|710110|700110
549	3	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711201|710701|710201|700301
550	3	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711202|710702|710202|700302
551	3	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711203|710703|710203|700303
552	3	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711204|710704|710204|700304
553	3	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711205|710705|710205|700305
554	3	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711206|710706|710206|700306
555	3	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711207|710707|710207|700307
556	3	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711208|710708|710208|700308
557	3	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711209|710709|710209|700309
558	3	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711210|710710|710210|700310
559	4	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711501|711001|710501|701301
560	4	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711502|711002|710502|701302
561	4	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711503|711003|710503|701303
562	4	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711504|711004|710504|701304
563	4	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711505|711005|710505|701305
564	4	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711506|711006|710506|701306
565	4	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711507|711007|710507|701307
566	4	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711508|711008|710508|701308
567	4	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711509|711009|710509|701309
568	4	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711510|711010|710510|701310
569	5	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711301|710801|710301|700601
570	5	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711302|710802|710302|700602
571	5	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711303|710803|710303|700603
572	5	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711304|710804|710304|700604
573	5	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711305|710805|710305|700605
574	5	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711306|710806|710306|700606
575	5	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711307|710807|710307|700607
576	5	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711308|710808|710308|700608
577	5	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711309|710809|710309|700609
578	5	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711310|710810|710310|700610
579	6	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711101|710601|710101|700201
580	6	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711102|710602|710102|700202
581	6	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711103|710603|710103|700203
582	6	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711104|710604|710104|700204
583	6	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711105|710605|710105|700205
584	6	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711106|710606|710106|700206
585	6	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711107|710607|710107|700207
586	6	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711108|710608|710108|700208
587	6	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711109|710609|710109|700209
588	6	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711110|710610|710110|700210
589	7	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711401|710901|710401|701001
590	7	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711402|710902|710402|701002
591	7	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711403|710903|710403|701003
592	7	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711404|710904|710404|701004
593	7	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711405|710905|710405|701005
594	7	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711406|710906|710406|701006
595	7	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711407|710907|710407|701007
596	7	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711408|710908|710408|701008
597	7	20	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9800	1	711409|710909|710409|701009
598	7	21	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9970	1	711410|710910|710410|701010
599	8	12	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	5	7270	1	711201|710701|710201|700401
600	8	13	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8620	1	711202|710702|710202|700402
601	8	14	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8790	1	711203|710703|710203|700403
602	8	15	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	8960	1	711204|710704|710204|700404
603	8	16	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9130	1	711205|710705|710205|700405
604	8	17	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9300	1	711206|710706|710206|700406
605	8	18	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9460	1	711207|710707|710207|700407
606	8	19	660000|280000|50000|10000	655000|280000|50000|15000	655000|280000|50000|15000	671600	6	9630	1	711208|710708|710208|700408
